country_code,is_independent,currency_name,status,landlocked,country,region,subregion,capital,continent
KOR,Yes,Won,Developing,No,Korea Rep,Asia,Eastern Asia,Seoul,AS
MDA,Yes,Moldovan Leu,Developed,Yes,Republic of Moldova,Europe,Eastern Europe,Chisinau,EU
ROU,Yes,Romanian Leu,Developed,No,Romania,Europe,Eastern Europe,Bucharest,EU
RUS,Yes,Russian Ruble,Developed,No,Russian Federation,Europe,Eastern Europe,Moscow,EU
RWA,Yes,Rwanda Franc,Developing,Yes,Rwanda,Africa,Sub-Saharan Africa,Kigali,AF
REU,Part of FR,Euro,Developing,No,Reunion,Africa,Sub-Saharan Africa,Saint-Denis,AF
BLM,Part of FR,Euro,Developing,No,Saint Barthélemy,Americas,Latin America and the Caribbean,Gustavia,NA
SHN,Territory of GB,Saint Helena Pound,Developing,No,Saint Helena,Africa,Sub-Saharan Africa,Jamestown,x
KNA,Yes,East Caribbean Dollar,Developing,No,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Basseterre,NA
LCA,Yes,East Caribbean Dollar,Developing,No,Saint Lucia,Americas,Latin America and the Caribbean,Castries,NA
MAF,Part of FR,Euro,Developing,No,Saint Martin (French Part),Americas,Latin America and the Caribbean,Marigot,NA
SPM,Part of FR,Euro,Developed,No,Saint Pierre and Miquelon,Americas,Northern America,Saint-Pierre,NA
VCT,Yes,East Caribbean Dollar,Developing,No,St Vincent and the Grenadines,Americas,Latin America and the Caribbean,Kingstown,NA
WSM,Yes,Tala,Developing,No,Samoa,Oceania,Polynesia,Apia,OC
SMR,Yes,Euro,Developed,No,San Marino,Europe,Southern Europe,San Marino,EU
STP,Yes,Dobra,Developing,No,Sao Tome and Principe,Africa,Sub-Saharan Africa,Sao Tome,AF
,,,Developed,No,Sark,Europe,Northern Europe,,
SAU,Yes,Saudi Riyal,Developing,No,Saudi Arabia,Asia,Western Asia,Riyadh,AS
SEN,Yes,CFA Franc BCEAO,Developing,No,Senegal,Africa,Sub-Saharan Africa,Dakar,AF
SRB,Yes,Serbian Dinar,Developed,No,Serbia,Europe,Southern Europe,Belgrade,EU
SYC,Yes,Seychelles Rupee,Developing,No,Seychelles,Africa,Sub-Saharan Africa,Victoria,AF
SLE,Yes,Leone,Developing,No,Sierra Leone,Africa,Sub-Saharan Africa,Freetown,AF
SGP,Yes,Singapore Dollar,Developing,No,Singapore,Asia,South-eastern Asia,Singapore,AS
SXM,Part of NL,Netherlands Antillean Guilder,Developing,No,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,Philipsburg,NA
SVK,Yes,Euro,Developed,No,Slovakia,Europe,Eastern Europe,Bratislava,EU
SVN,Yes,Euro,Developed,No,Slovenia,Europe,Southern Europe,Ljubljana,EU
SLB,Yes,Solomon Islands Dollar,Developing,No,Solomon Islands,Oceania,Melanesia,Honiara,OC
SOM,Yes,Somali Shilling,Developing,No,Somalia,Africa,Sub-Saharan Africa,Mogadishu,AF
ZAF,Yes,Rand,Developing,No,South Africa,Africa,Sub-Saharan Africa,Pretoria,AF
SGS,Territory of GB,No universal currency,Developing,No,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,Grytviken,AN
SSD,Yes,South Sudanese Pound,Developing,Yes,South Sudan,Africa,Sub-Saharan Africa,Juba,AF
ESP,Yes,Euro,Developed,No,Spain,Europe,Southern Europe,Madrid,EU
LKA,Yes,Sri Lanka Rupee,Developing,No,Sri Lanka,Asia,Southern Asia,Colombo,AS
PSE,In contention,No universal currency,Developing,No,Palestinian Territory, Occupied,Asia,Western Asia,East Jerusalem,x
SDN,Yes,Sudanese Pound,Developing,No,Sudan,Africa,Northern Africa,Khartoum,AF
SUR,Yes,Surinam Dollar,Developing,No,Suriname,Americas,Latin America and the Caribbean,Paramaribo,SA
SJM,Territory of NO,Norwegian Krone,Developed,No,Svalbard and Jan Mayen Islands,Europe,Northern Europe,Longyearbyen,EU
SWE,Yes,Swedish Krona,Developed,No,Sweden,Europe,Northern Europe,Stockholm,EU
CHE,Yes,Swiss Franc,Developed,No,Switzerland,Europe,Western Europe,Bern,EU
SYR,Yes,Syrian Pound,Developing,No,Syria,Asia,Western Asia,Damascus,AS
TJK,Yes,Somoni,Developing,Yes,Tajikistan,Asia,Central Asia,Dushanbe,AS
THA,Yes,Baht,Developing,No,Thailand,Asia,South-eastern Asia,Bangkok,AS
MKD,Yes,Denar,Developed,Yes,Macedonia,Europe,Southern Europe,Skopje,EU
TLS,Yes,US Dollar,Developing,No,Timor Leste,Asia,South-eastern Asia,Dili,OC
TGO,Yes,CFA Franc BCEAO,Developing,No,Togo,Africa,Sub-Saharan Africa,Lome,AF
TKL,Territory of NZ,New Zealand Dollar,Developing,No,Tokelau,Oceania,Polynesia,,OC
TON,Yes,Pa’anga,Developing,No,Tonga,Oceania,Polynesia,Nuku'alofa,OC
TTO,Yes,Trinidad and Tobago Dollar,Developing,No,Trinidad and Tobago,Americas,Latin America and the Caribbean,Port of Spain,NA
TUN,Yes,Tunisian Dinar,Developing,No,Tunisia,Africa,Northern Africa,Tunis,AF
TUR,Yes,Turkish Lira,Developing,No,Turkey,Asia,Western Asia,Ankara,AS
TKM,Yes,Turkmenistan New Manat,Developing,Yes,Turkmenistan,Asia,Central Asia,Ashgabat,AS
TCA,Territory of GB,US Dollar,Developing,No,Turks and Caicos Islands,Americas,Latin America and the Caribbean,Cockburn Town,NA
TUV,Yes,Australian Dollar,Developing,No,Tuvalu,Oceania,Polynesia,Funafuti,OC
UGA,Yes,Uganda Shilling,Developing,Yes,Uganda,Africa,Sub-Saharan Africa,Kampala,AF
UKR,Yes,Hryvnia,Developed,No,Ukraine,Europe,Eastern Europe,Kyiv,EU
ARE,Yes,UAE Dirham,Developing,No,United Arab Emirates,Asia,Western Asia,Abu Dhabi,AS
GBR,Yes,Pound Sterling,Developed,No,United Kingdom,Europe,Northern Europe,London,EU
TZA,Yes,Tanzanian Shilling,Developing,No,Tanzania,Africa,Sub-Saharan Africa,Dodoma,x
UMI,Territories of US,US Dollar,Developing,No,United States Minor Outlying Islands,Oceania,Micronesia,,OC
VIR,Territory of US,US Dollar,Developing,No,United States Virgin Islands,Americas,Latin America and the Caribbean,Charlotte Amalie,NA
USA,Yes,US Dollar,Developed,No,United States of America,Americas,Northern America,Washington,NA
URY,Yes,Peso Uruguayo,Developing,No,Uruguay,Americas,Latin America and the Caribbean,Montevideo,SA
UZB,Yes,Uzbekistan Sum,Developing,Yes,Uzbekistan,Asia,Central Asia,Tashkent,AS
VUT,Yes,Vatu,Developing,No,Vanuatu,Oceania,Melanesia,Port Vila,OC
VEN,Yes,Bolívar,Developing,No,Venezuela,Americas,Latin America and the Caribbean,Caracas,SA
VNM,Yes,Dong,Developing,No,Vietnam,Asia,South-eastern Asia,Hanoi,AS
WLF,Territory of FR,CFP Franc,Developing,No,Wallis and Futuna Islands,Oceania,Polynesia,Mata Utu,OC
ESH,In contention,Moroccan Dirham,Developing,No,Western Sahara,Africa,Northern Africa,El-Aaiun,AF
YEM,Yes,Yemeni Rial,Developing,No,Yemen,Asia,Western Asia,Sanaa,AS
ZMB,Yes,Zambian Kwacha,Developing,Yes,Zambia,Africa,Sub-Saharan Africa,Lusaka,AF
ZWE,Yes,Zimbabwe Dollar,Developing,Yes,Zimbabwe,Africa,Sub-Saharan Africa,Harare,AF
ALA,Part of FI,Euro,Developed,No,Åland Islands,Europe,Northern Europe,Mariehamn,EU
